job_name,submit_time,origin,assigned,k,duration,latency_ms,carbon_g,dropped
j_091251,66055.0,Korea,US_West,1,2704.3,134.0,73.17058333333341,False
j_000007,66526.3,US_West,France,5,3.0,146.0,0.015833333333333335,False
j_018277,66551.1,US_Central,France,4,43.7,113.0,0.23063888888887352,False
j_127767,66623.3,Japan,US_East,1,3347.1,172.0,229.09742539111153,False
j_091270,66978.6,Korea,US_West,1,2036.9,134.0,53.963083333333174,False
j_127784,67273.4,Japan,US_West,5,7.3,109.0,0.20075000000008003,False
j_054761,67489.0,France,France,4,8.1,0.0,0.04275000000003072,False
j_127759,67602.5,Japan,France,1,3216.8,228.0,16.977555555555572,False
j_018270,67639.1,US_Central,US_West,3,202.6,39.0,5.57150000000016,False
j_018288,67792.4,US_Central,France,5,3.8,113.0,0.020055555555570915,False
j_018267,67801.8,US_Central,France,5,3.0,113.0,0.015833333333333335,False
j_036534,67863.8,US_East,US_West,5,5.1,74.0,0.14025000000016008,False
j_091298,67914.4,Korea,US_West,1,2331.2,134.0,57.95599999999995,False
j_018257,68268.3,US_Central,France,4,30.7,113.0,0.16202777777776242,False
j_036533,68418.7,US_East,France,5,3.2,90.0,0.016888888888873528,False
j_091259,68610.4,Korea,France,1,3967.8,238.0,20.45933333333335,False
j_109529,68697.3,India,France,2,1061.6,137.0,5.60288888888892,False
j_018258,68973.3,US_Central,France,3,231.4,113.0,1.221277777777747,False
j_054792,69237.3,France,France,4,24.8,0.0,0.13088888888890424,False
j_000044,69974.5,US_West,France,2,962.2,146.0,5.078277777777762,False
j_127782,70385.6,Japan,France,1,5877.3,228.0,27.466666666666676,False
j_073038,70672.7,Germany,France,5,4.0,12.0,0.021111111111111112,False
j_018251,70982.9,US_Central,France,3,259.5,113.0,1.3695833333333334,False
j_000029,71114.1,US_West,US_West,5,3.5,0.0,0.08458333333333333,False
j_054770,71199.6,France,US_West,3,440.4,146.0,10.642999999999859,False
j_109518,71500.1,India,US_West,2,709.4,225.0,16.794666666666526,False
j_000006,71675.7,US_West,France,1,2596.1,146.0,11.808472222222251,False
j_109517,72030.1,India,US_West,1,11775.4,225.0,262.2084444444443,False
j_018287,72121.6,US_Central,France,3,571.2,113.0,2.5386666666666535,False
j_109526,72258.2,India,US_East,1,4668.8,204.0,332.54972222222244,False
j_109507,72486.3,India,US_West,2,6710.2,225.0,144.98533333333327,False
j_127789,72766.4,Japan,US_East,1,2406.9,172.0,170.48874999999958,False
j_109501,72939.8,India,US_West,1,3788.4,225.0,83.35866666666654,False
j_018280,73069.4,US_Central,France,4,20.7,113.0,0.09199999999998706,False
j_036535,73471.4,US_East,US_East,1,6051.3,0.0,434.0819444444446,False
j_018274,73517.0,US_Central,US_West,5,11.1,39.0,0.24975000000013098,False
j_109519,73599.9,India,US_East,4,29.6,204.0,2.096666666667079,False
j_091254,73879.3,Korea,US_West,1,4738.0,134.0,101.57616666666667,False
j_018291,74198.9,US_Central,France,4,39.2,113.0,0.1742222222222093,False
j_036530,74220.4,US_East,US_East,4,43.4,0.0,3.074166666666254,False
j_127761,74258.4,Japan,France,1,1007.6,228.0,4.478222222222248,False
j_054787,74277.1,France,US_West,1,9310.3,146.0,205.16852777777794,False
j_091289,74291.2,Korea,US_East,1,21600.0,193.0,1516.4533460622224,False
j_036543,74440.4,US_East,France,3,170.3,90.0,0.7568888888889018,False
j_073039,74501.6,Germany,France,4,75.9,12.0,0.33733333333330745,False
j_127794,74667.2,Japan,US_West,5,3.6,109.0,0.08100000000013097,False
j_036508,74724.8,US_East,France,4,24.1,90.0,0.10711111111113698,False
j_054782,74871.6,France,US_East,5,4.6,90.0,0.32583333333374564,False
j_000041,75073.8,US_West,US_East,5,3.0,74.0,0.2125,False
j_000034,75159.8,US_West,US_West,5,3.4,0.0,0.07649999999986903,False
j_018265,75470.6,US_Central,France,1,3941.5,113.0,17.517777777777777,False
j_109524,75575.8,India,US_West,4,25.8,225.0,0.5778333333333892,False
j_127756,75699.1,Japan,France,5,12.3,228.0,0.0546666666666796,False
j_127793,75754.9,Japan,France,4,5.0,228.0,0.022222222222222223,False
j_091296,75847.5,Korea,France,5,3.6,238.0,0.01600000000002587,False
j_073027,76156.8,Germany,France,5,4.6,12.0,0.020444444444470314,False
j_073028,76366.1,Germany,France,4,116.7,12.0,0.5186666666666537,False
j_127774,77391.7,Japan,France,1,13253.5,228.0,53.18755655555556,False
j_036507,77400.6,US_East,France,5,5.6,90.0,0.02488888888891476,False
j_054757,77471.3,France,US_West,1,5614.2,146.0,121.50027777777771,False
